GeneID,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT5G48540,NA,NA,9602.939754361498,5.760121902096371,0.44950792482183377,4.5045498495385256e-39,5.610403666401844e-37
AT2G17220,Kin3,NA,2301.442105841016,3.2800138152259324,0.25504496424524176,4.8521168272110554e-39,6.008161871275643e-37
AT4G12720,AtNUDT7,Encodes a protein with ADP-ribose hydrolase activity. Negatively regulates EDS1-conditioned plant defense and programmed cell death.,7611.42435945899,4.716630881861118,0.3678855256619865,6.12634205685214e-39,7.542129082476119e-37
AT1G56060,AthCYSTM3,NA,786.8117763730095,8.59219534711897,0.6663081034703188,6.781957493353148e-39,8.301271878933065e-37
AT3G14225,GLIP4,Contains lipase signature motif and GDSL domain.,523.7514651680277,7.7033480530905996,0.5979602580987063,1.311391154059703e-38,1.5960005028093465e-36
AT1G25390,LRK10L4,NA,4197.331296079709,3.6971070771195818,0.2897727693107691,1.5225363780686915e-38,1.8424420329606244e-36
AT5G57190,PSD2,Encodes the minor form of the two non-mitochondrail phosphatidylserine decarboxylase. The gene expression level is very low. Located at the tonoplast.,747.8106529503838,5.6942418752835575,0.4476818974824162,1.948413703637856e-38,2.344481076840625e-36
AT1G76680,ATOPR1,"Encodes a member of an alpha/beta barrel fold family of FMN-containing oxidoreductases.  One of the closely related 12-oxophytodienoic acid reductases. This enzyme is not expected to participate in jasmonic acid biosynthesis because during in vitro assays, it shows very little activity with the naturally occurring OPDA isomer.  Shows activity towards 2,4,6-trinitrotoluene.  Expressed predominately in root.  Up-regulated by senescence and jasmonic acid. Induced by salicylic acid. Independent of NPR1 for their induction by salicylic acid. Predicted to be a cytosolic protein.",9244.597472598529,5.163384753707792,0.4058196066949843,2.148179646394279e-38,2.5703331521856946e-36
AT5G04930,ALA1,Encodes a putative aminophospholipid translocase (p-type ATPase) involved in chilling response.,4830.594961998121,3.1369345996294977,0.2470224817491127,3.968034596092182e-38,4.721296135618509e-36
AT5G25050,NA,NA,1015.3005695401678,3.43572960999659,0.27096643110692153,4.738072734634286e-38,5.6061929501245014e-36
AT1G61360,NA,NA,5373.178874250009,5.102252983609249,0.40440765426942255,6.506290765742411e-38,7.655855288882976e-36
AT5G66070,AtARRE,NA,1470.2000943826806,3.6293498184583983,0.2870373197996445,6.703131099687512e-38,7.844136602260695e-36
AT4G18250,NA,NA,1722.7488255702003,4.875077079273109,0.3882613749224536,1.4185469177962467e-37,1.6509405603947793e-35
AT3G57330,ACA11,NA,12664.07089958232,3.2299198800090623,0.2562752801554082,1.7295831926759837e-37,2.001992545522451e-35
AT2G02010,GAD4,NA,13035.364737406751,9.620716034798091,0.7724269395262371,2.0441150953060413e-37,2.3532736918825978e-35
AT2G47060,PTI1-4,NA,2459.7106141374425,3.0718721517191314,0.24467714533094712,2.649796677979735e-37,3.0341596584737846e-35
AT3G15356,NA,NA,43815.36241385854,4.819618012018067,0.38385769273698295,2.862819215146821e-37,3.2605520665345986e-35
AT5G01950,NA,NA,2322.0907695941614,2.8736009875630644,0.2291528018846183,3.595068858502685e-37,4.0727540717228815e-35
AT1G24145,NA,NA,2294.239215668281,6.10141636721162,0.491668182537835,7.060809658246265e-37,7.956673232874548e-35
AT3G05580,AUN1,NA,1440.0408161335663,3.407723662947552,0.27345215933461264,7.407300488116402e-37,8.30319398925806e-35
AT4G19460,NA,NA,1023.4031214929352,5.386907866204453,0.4338366419016725,7.560721023124317e-37,8.430797714685953e-35
AT1G61370,NA,NA,1490.881271342536,4.8484559066337365,0.3916238778230897,1.3587149232987036e-36,1.5071828352299891e-34
AT1G55450,NA,NA,48285.05402083754,6.199508710078429,0.5027512710836636,2.029694295218975e-36,2.239814979252525e-34
AT1G05575,NA,NA,857.5178582072384,5.92013605641087,0.4812413248460767,3.023894659003552e-36,3.319737548838023e-34
AT4G38560,NA,NA,792.8681822747117,5.121784632096207,0.4160816506240791,3.262489490847299e-36,3.5633077526187573e-34
AT2G13800,ATSERK5,NA,1578.5674810265698,3.8562935152651465,0.31316782138590704,4.115807983956347e-36,4.472371349097056e-34
AT3G25250,AGC2,Arabidopsis protein kinase,407.4366270208484,6.804352535852216,0.5516053195932805,4.360340644277471e-36,4.714037311767593e-34
AT5G64660,ATCMPG2,NA,2016.1214732143928,5.452446749831017,0.4457301295473816,7.248850830099741e-36,7.797273988861832e-34
AT3G16530,NA,Lectin like protein whose expression is induced upon treatment with chitin oligomers.,51090.75739213362,5.818453016309421,0.47667170495511585,8.532739697990312e-36,9.132175381296363e-34
AT1G53625,NA,NA,4681.967523973496,8.259478366307274,0.6786472072849696,8.882937017647682e-36,9.459439630093015e-34
AT5G57010,NA,NA,1103.921730782971,7.408216710665702,0.6080139693517597,9.88939942573017e-36,1.0478827311900555e-33
AT4G01250,AtWRKY22,member of WRKY Transcription Factor; Group II-e,14676.333000960154,4.251837143422536,0.3480504653757622,1.1142981882819548e-35,1.1748674660410431e-33
AT2G26530,AR781,unknown function,4617.391521346591,4.6309882701180225,0.3817814299779374,2.2788469796791433e-35,2.390880934640709e-33
AT1G33600,NA,NA,15216.83307572674,4.737723746534885,0.3889601388275691,2.481930115811464e-35,2.5911837062035568e-33
AT3G18690,MKS1,Encodes a nuclear-localized member of a plant specific gene family involved in mediating responses to pathogens. Interacts with WRKY transcriptional regulators.,2148.0344960830216,4.320284929604812,0.35573291823064773,2.767495063590235e-35,2.8752248714314544e-33
AT5G03390,AtDOA11,NA,959.473705077666,5.097180236280948,0.4197904421638433,3.0723040600799006e-35,3.1764044597855196e-33
AT5G63130,NA,NA,280.75526741392815,4.839722517480692,0.3979187902229828,3.179934901953949e-35,3.271799688010396e-33
AT5G58120,NA,NA,2216.074263508652,4.397500262227148,0.3636978629061738,5.142999911125194e-35,5.266135197458866e-33
AT3G46930,Raf43,NA,942.4234183548548,3.9388032167597977,0.32612531921165283,7.217555755213348e-35,7.35500011839875e-33
AT3G25600,CML16,NA,964.3897377199116,3.7163615820768903,0.3086463370674119,1.252228277795002e-34,1.269997993356093e-32
