gene,symbol,description,baseMean,log2FoldChange,lfcSE,pvalue,padj
AT3G13870,GOM8,required for regulated cell expansion and normal root hair development. Encodes an evolutionarily conserved protein with putative GTP-binding motifs that is implicated in the control of vesicle trafficking between the endoplasmic reticulum and the Golgi compartments.,1168.17082742515,0.23370771196929463,0.3900184319393029,0.2061410271711116,0.8292090863161993
AT3G27025,LAZY6,NA,22.544727383065368,0.11921832205026742,0.3874669324362195,0.20750185242256516,0.8292090863161993
AT3G28455,CLE25,Member of a large family of putative ligands homologous to the Clavata3 gene.  Consists of a single exon. Can not replace CLV3 function in vivo.,20.96211467158533,0.161137626400097,0.3958847663958286,0.20661159771057552,0.8292090863161993
AT3G29375,NA,NA,104.98277147825397,0.22788204755602115,0.3935850473740132,0.20782814268712968,0.8292090863161993
AT3G49290,ABIL2,One of four ABI-like proteins.,183.90684486581875,0.23354425944380375,0.3914673227777057,0.20700630862691727,0.8292090863161993
AT3G56860,UBA2A,"encodes a nuclear protein that binds to RNA with a specificity for oligouridylates in vitro. Along with UBP1 and UBA1a, it may act as a component of a complex recognizing U-rich sequences in plant 3'-UTRs and contributing to the stabilization of mRNAs in the nucleus.",770.2536190805523,-0.24631594776546856,0.3796185562234672,0.2067273082046126,0.8292090863161993
AT4G00970,CRK41,Encodes a cysteine-rich receptor-like protein kinase.,62.59352821277602,-0.19425239180929993,0.39857323026824854,0.20800243628891013,0.8292090863161993
AT4G01600,NA,NA,76.63881751382984,-0.22250117614134837,0.3938397117867325,0.20799481189713828,0.8292090863161993
AT4G01950,ATGPAT3,Encodes a member of a family of proteins with glycerol-3-phosphate acyltransferase activity.,363.26539459071125,0.18957611571234548,0.3997241732206465,0.20783876678813315,0.8292090863161993
AT4G08780,NA,NA,59.89408664600427,-0.15916344204507468,0.395233723135202,0.205773320221934,0.8292090863161993
AT4G13930,SHM4,Encodes a serine hydroxymethyltransferase maximally expressed in root,1076.5816897738964,0.20426061588913477,0.4000206222826118,0.20679131670915313,0.8292090863161993
AT4G18990,XTH29,NA,15.858581146844674,-0.10803975114186784,0.3848515973702512,0.20594295401241275,0.8292090863161993
AT4G19700,AtILP,NA,450.831561682072,-0.20658255574371112,0.3978474541620299,0.20659602526709847,0.8292090863161993
AT4G22160,NA,NA,84.08400328817243,0.22768139153675476,0.3951229686972247,0.20599732572546983,0.8292090863161993
AT4G22610,NA,NA,54.58749900053242,-0.1867038517615177,0.3980004128061688,0.20781485636290536,0.8292090863161993
AT4G27510,NA,NA,9.34157580735472,0.123941895559304,0.3882087338341183,0.20682634806364983,0.8292090863161993
AT4G28570,NA,NA,342.363011208798,-0.22615974267973352,0.3928950550568437,0.20656120392830576,0.8292090863161993
AT4G32290,NA,NA,124.17925178220456,-0.22981618575776255,0.390929460116864,0.20714742600601355,0.8292090863161993
